id	parliament	year	candidate_name	edate	birth_year	country_birth	occupation	riding_id	riding	province	votes	percent_votes	party_raw	party_minor_group	party_major_group	gov_party_raw	gov_minor_group	gov_major_group	num_candidates	type_elxn	elected	incumbent	gender	lgbtq2_out	indigenousorigins	lawyer	censuscategory	acclaimed	switcher	multiple_candidacy
980	14	1921	"BATSON, Cadwallader Flagg"	"1921-12-06"			"fisherman"		"VANCOUVER CENTRE"	"British Columbia"	39	0.21743979	"Progressive"	"Progressive"	"Progressive"	"Liberal Party of Canada"	"Liberal"	"Liberal"	4	1	0	0	0		0	0	8	0	0	0
23074	14	1921	"MCINTOSH, Arza Daniel"	"1921-12-06"			"merchant"		"HASTINGS WEST"	"Ontario"	6108	45.626354	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	0	0	0		0	0	6	0	0	0
33856	14	1921	"NADEAU, Joseph Albert"	"1921-12-06"			"contractor"		"DRUMMOND--ARTHABASKA"	"Quebec"	1503	9.489236	"Independent"	"Independent"	"Independent"	"Liberal Party of Canada"	"Liberal"	"Liberal"	4	1	0	0	0		0	0	6	0	0	0
2927	14	1921	"BUSTEED, Thomas Robert"	"1921-12-06"			"farmer"		"BONAVENTURE"	"Quebec"	1599	20.67227	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	0	0	0		0	0	8	0	0	0
5252	14	1921	"DEMERS, Marie-Joseph"	"1921-12-06"	1871		"lawyer"		"ST. JOHNS--IBERVILLE"	"Quebec"	6618	93.50099	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	1	1	0		0	1	4	0	0	0
3593	14	1921	"CHAPLIN, James Dew"	"1921-12-06"	1863		"manufacturer"		"LINCOLN"	"Ontario"	8087	46.570686	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	1	1	0		0	0	9	0	0	0
6348	14	1921	"ELLIOTT, Preston"	"1921-12-06"	1875		"farmer"		"DUNDAS"	"Ontario"	5732	51.037308	"Progressive"	"Progressive"	"Progressive"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	1	0	0		0	0	8	0	0	0
5024	14	1921	"DAVIES, Claudius Charles"	"1921-12-06"	1879		"farmer"		"NORTH BATTLEFORD"	"Saskatchewan"	8786	62.197365	"Progressive"	"Progressive"	"Progressive"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	1	0	0		0	0	8	0	0	0
6533	14	1921	"FAFARD, J. Quetton"	"1921-12-06"			"farmer"		"PORTNEUF"	"Quebec"	665	5.9582477	"Progressive"	"Progressive"	"Progressive"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0	8	0	0	0
4723	14	1921	"CRUISE, Robert"	"1921-12-06"			"farmer"		"DAUPHIN"	"Manitoba"	2138	21.558939	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	0	1	0		0	0	8	0	0	0
